index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,0.04,0.06,-0.02,-33.3333,65046600
29,2023-06-01,USD,0.04,0.06,-0.02,-33.3333,65046600
30,2023-05-31,USD,0.04,0.06,-0.02,-33.3333,65046600
31,2023-05-30,USD,0.04,0.06,-0.02,-33.3333,65046600
32,2023-05-29,USD,0.04,0.06,-0.02,-33.3333,65046600
33,2023-05-28,USD,0.04,0.06,-0.02,-33.3333,65046600
34,2023-05-27,USD,0.04,0.06,-0.02,-33.3333,65046600
35,2023-05-26,USD,0.04,0.06,-0.02,-33.3333,65046600
36,2023-05-25,USD,0.04,0.06,-0.02,-33.3333,65046600
37,2023-05-24,USD,0.04,0.06,-0.02,-33.3333,65046600
38,2023-05-23,USD,0.04,0.06,-0.02,-33.3333,65046600
39,2023-05-22,USD,0.04,0.06,-0.02,-33.3333,65046600
40,2023-05-21,USD,0.04,0.06,-0.02,-33.3333,65046600
41,2023-05-20,USD,0.04,0.06,-0.02,-33.3333,65046600
42,2023-05-19,USD,0.04,0.06,-0.02,-33.3333,65046600
43,2023-05-18,USD,0.04,0.06,-0.02,-33.3333,65046600
44,2023-05-17,USD,0.04,0.06,-0.02,-33.3333,65046600
45,2023-05-16,USD,0.04,0.06,-0.02,-33.3333,65046600
46,2023-05-15,USD,0.04,0.06,-0.02,-33.3333,65046600
47,2023-05-14,USD,0.04,0.06,-0.02,-33.3333,65046600
48,2023-05-13,USD,0.04,0.06,-0.02,-33.3333,65046600
49,2023-05-12,USD,0.04,0.06,-0.02,-33.3333,65046600
50,2023-05-11,USD,0.04,0.06,-0.02,-33.3333,65046600
51,2023-05-10,USD,0.04,0.06,-0.02,-33.3333,65046600
52,2023-05-09,USD,0.04,0.06,-0.02,-33.3333,65046600
53,2023-05-08,USD,0.04,0.06,-0.02,-33.3333,65046600
54,2023-05-07,USD,0.04,0.06,-0.02,-33.3333,65046600
55,2023-05-06,USD,0.04,0.06,-0.02,-33.3333,65046600
56,2023-05-05,USD,0.04,0.06,-0.02,-33.3333,65046600
57,2023-05-04,USD,0.04,0.06,-0.02,-33.3333,65046600
58,2023-05-03,USD,0.04,0.06,-0.02,-33.3333,65046600
59,2023-05-02,USD,0.04,0.06,-0.02,-33.3333,65046600
60,2023-05-01,USD,0.04,0.06,-0.02,-33.3333,65046600
61,2023-04-30,USD,0.04,0.06,-0.02,-33.3333,65046600
62,2023-04-29,USD,0.04,0.06,-0.02,-33.3333,65046600
63,2023-04-28,USD,0.04,0.06,-0.02,-33.3333,65046600
64,2023-04-27,USD,0.04,0.06,-0.02,-33.3333,65046600
65,2023-04-26,USD,0.04,0.06,-0.02,-33.3333,65046600
66,2023-04-25,USD,0.04,0.06,-0.02,-33.3333,65046600
67,2023-04-24,USD,0.04,0.06,-0.02,-33.3333,65046600
68,2023-04-23,USD,0.04,0.06,-0.02,-33.3333,65046600
69,2023-04-22,USD,0.04,0.06,-0.02,-33.3333,65046600
70,2023-04-21,USD,0.04,0.06,-0.02,-33.3333,65046600
71,2023-04-20,USD,0.04,0.06,-0.02,-33.3333,65046600
72,2023-04-19,USD,0.04,0.06,-0.02,-33.3333,65046600
73,2023-04-18,USD,0.04,0.06,-0.02,-33.3333,65046600
74,2023-04-17,USD,0.04,0.06,-0.02,-33.3333,65046600
75,2023-04-16,USD,0.04,0.06,-0.02,-33.3333,65046600
76,2023-04-15,USD,0.04,0.06,-0.02,-33.3333,65046600
77,2023-04-14,USD,0.04,0.06,-0.02,-33.3333,65046600
78,2023-04-13,USD,0.04,0.06,-0.02,-33.3333,65046600
79,2023-04-12,USD,0.04,0.06,-0.02,-33.3333,65046600
80,2023-04-11,USD,0.04,0.06,-0.02,-33.3333,65046600
81,2023-04-10,USD,0.04,0.06,-0.02,-33.3333,65046600
82,2023-04-09,USD,0.04,0.06,-0.02,-33.3333,65046600
83,2023-04-08,USD,0.04,0.06,-0.02,-33.3333,65046600
84,2023-04-07,USD,0.04,0.06,-0.02,-33.3333,65046600
85,2023-04-06,USD,0.04,0.06,-0.02,-33.3333,65046600
86,2023-04-05,USD,0.04,0.06,-0.02,-33.3333,65046600
87,2023-04-04,USD,0.04,0.06,-0.02,-33.3333,65046600
88,2023-04-03,USD,0.04,0.06,-0.02,-33.3333,65046600
89,2023-04-02,USD,0.04,0.06,-0.02,-33.3333,65046600
90,2023-04-01,USD,0.04,0.06,-0.02,-33.3333,65046600
91,2023-03-31,USD,0.04,0.06,-0.02,-33.3333,65046600
92,2023-03-30,USD,-0.07,0.02,-0.09,-450,64379499.99999999
93,2023-03-29,USD,-0.07,0.02,-0.09,-450,64379499.99999999
94,2023-03-28,USD,-0.07,0.02,-0.09,-450,64379499.99999999
95,2023-03-27,USD,-0.07,0.02,-0.09,-450,64379499.99999999
96,2023-03-26,USD,-0.07,0.02,-0.09,-450,64379499.99999999
97,2023-03-25,USD,-0.07,0.02,-0.09,-450,64379499.99999999
98,2023-03-24,USD,-0.07,0.02,-0.09,-450,64379499.99999999
99,2023-03-23,USD,-0.07,0.02,-0.09,-450,64379499.99999999
100,2023-03-22,USD,-0.07,0.02,-0.09,-450,64379499.99999999
101,2023-03-21,USD,-0.07,0.02,-0.09,-450,64379499.99999999
102,2023-03-20,USD,-0.07,0.02,-0.09,-450,64379499.99999999
103,2023-03-19,USD,-0.07,0.02,-0.09,-450,64379499.99999999
104,2023-03-18,USD,-0.07,0.02,-0.09,-450,64379499.99999999
105,2023-03-17,USD,-0.07,0.02,-0.09,-450,64379499.99999999
106,2023-03-16,USD,-0.07,0.02,-0.09,-450,64379499.99999999
107,2023-03-15,USD,-0.07,0.02,-0.09,-450,64379499.99999999
108,2023-03-14,USD,-0.07,0.02,-0.09,-450,64379499.99999999
109,2023-03-13,USD,-0.07,0.02,-0.09,-450,64379499.99999999
110,2023-03-12,USD,-0.07,0.02,-0.09,-450,64379499.99999999
111,2023-03-11,USD,-0.07,0.02,-0.09,-450,64379499.99999999
112,2023-03-10,USD,-0.07,0.02,-0.09,-450,64379499.99999999
113,2023-03-09,USD,-0.07,0.02,-0.09,-450,64379499.99999999
114,2023-03-08,USD,-0.07,0.02,-0.09,-450,64379499.99999999
115,2023-03-07,USD,-0.07,0.02,-0.09,-450,64379499.99999999
116,2023-03-06,USD,-0.07,0.02,-0.09,-450,64379499.99999999
117,2023-03-05,USD,-0.07,0.02,-0.09,-450,64379499.99999999
118,2023-03-04,USD,-0.07,0.02,-0.09,-450,64379499.99999999
119,2023-03-03,USD,-0.07,0.02,-0.09,-450,64379499.99999999
120,2023-03-02,USD,-0.07,0.02,-0.09,-450,64379499.99999999
121,2023-03-01,USD,-0.07,0.02,-0.09,-450,64379499.99999999
122,2023-02-28,USD,-0.07,0.02,-0.09,-450,64379499.99999999
123,2023-02-27,USD,-0.07,0.02,-0.09,-450,64379499.99999999
124,2023-02-26,USD,-0.07,0.02,-0.09,-450,64379499.99999999
125,2023-02-25,USD,-0.07,0.02,-0.09,-450,64379499.99999999
126,2023-02-24,USD,-0.07,0.02,-0.09,-450,64379499.99999999
127,2023-02-23,USD,-0.07,0.02,-0.09,-450,64379499.99999999
128,2023-02-22,USD,-0.07,0.02,-0.09,-450,64379499.99999999
129,2023-02-21,USD,-0.07,0.02,-0.09,-450,64379499.99999999
130,2023-02-20,USD,-0.07,0.02,-0.09,-450,64379499.99999999
131,2023-02-19,USD,-0.07,0.02,-0.09,-450,64379499.99999999
132,2023-02-18,USD,-0.07,0.02,-0.09,-450,64379499.99999999
133,2023-02-17,USD,-0.07,0.02,-0.09,-450,64379499.99999999
134,2023-02-16,USD,-0.07,0.02,-0.09,-450,64379499.99999999
135,2023-02-15,USD,-0.07,0.02,-0.09,-450,64379499.99999999
136,2023-02-14,USD,-0.07,0.02,-0.09,-450,64379499.99999999
137,2023-02-13,USD,-0.07,0.02,-0.09,-450,64379499.99999999
138,2023-02-12,USD,-0.07,0.02,-0.09,-450,64379499.99999999
139,2023-02-11,USD,-0.07,0.02,-0.09,-450,64379499.99999999
140,2023-02-10,USD,-0.07,0.02,-0.09,-450,64379499.99999999
141,2023-02-09,USD,-0.07,0.02,-0.09,-450,64379499.99999999
142,2023-02-08,USD,-0.07,0.02,-0.09,-450,64379499.99999999
143,2023-02-07,USD,-0.07,0.02,-0.09,-450,64379499.99999999
144,2023-02-06,USD,-0.07,0.02,-0.09,-450,64379499.99999999
145,2023-02-05,USD,-0.07,0.02,-0.09,-450,64379499.99999999
146,2023-02-04,USD,-0.07,0.02,-0.09,-450,64379499.99999999
