index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,1.19,1.32,-0.13,-9.8485,42742900
29,2023-06-01,USD,1.19,1.32,-0.13,-9.8485,42742900
30,2023-05-31,USD,1.19,1.32,-0.13,-9.8485,42742900
31,2023-05-30,USD,1.19,1.32,-0.13,-9.8485,42742900
32,2023-05-29,USD,1.19,1.32,-0.13,-9.8485,42742900
33,2023-05-28,USD,1.19,1.32,-0.13,-9.8485,42742900
34,2023-05-27,USD,1.19,1.32,-0.13,-9.8485,42742900
35,2023-05-26,USD,1.19,1.32,-0.13,-9.8485,42742900
36,2023-05-25,USD,1.19,1.32,-0.13,-9.8485,42742900
37,2023-05-24,USD,1.19,1.32,-0.13,-9.8485,42742900
38,2023-05-23,USD,1.19,1.32,-0.13,-9.8485,42742900
39,2023-05-22,USD,1.19,1.32,-0.13,-9.8485,42742900
40,2023-05-21,USD,1.19,1.32,-0.13,-9.8485,42742900
41,2023-05-20,USD,1.19,1.32,-0.13,-9.8485,42742900
42,2023-05-19,USD,1.19,1.32,-0.13,-9.8485,42742900
43,2023-05-18,USD,1.19,1.32,-0.13,-9.8485,42742900
44,2023-05-17,USD,1.19,1.32,-0.13,-9.8485,42742900
45,2023-05-16,USD,1.19,1.32,-0.13,-9.8485,42742900
46,2023-05-15,USD,1.19,1.32,-0.13,-9.8485,42742900
47,2023-05-14,USD,1.19,1.32,-0.13,-9.8485,42742900
48,2023-05-13,USD,1.19,1.32,-0.13,-9.8485,42742900
49,2023-05-12,USD,1.19,1.32,-0.13,-9.8485,42742900
50,2023-05-11,USD,1.19,1.32,-0.13,-9.8485,42742900
51,2023-05-10,USD,1.19,1.32,-0.13,-9.8485,42742900
52,2023-05-09,USD,1.19,1.32,-0.13,-9.8485,42742900
53,2023-05-08,USD,1.19,1.32,-0.13,-9.8485,42742900
54,2023-05-07,USD,1.19,1.32,-0.13,-9.8485,42742900
55,2023-05-06,USD,1.19,1.32,-0.13,-9.8485,42742900
56,2023-05-05,USD,1.19,1.32,-0.13,-9.8485,42742900
57,2023-05-04,USD,1.19,1.32,-0.13,-9.8485,42742900
58,2023-05-03,USD,1.19,1.32,-0.13,-9.8485,42742900
59,2023-05-02,USD,1.19,1.32,-0.13,-9.8485,42742900
60,2023-05-01,USD,1.19,1.32,-0.13,-9.8485,42742900
61,2023-04-30,USD,1.19,1.32,-0.13,-9.8485,42742900
62,2023-04-29,USD,1.19,1.32,-0.13,-9.8485,42742900
63,2023-04-28,USD,1.19,1.32,-0.13,-9.8485,42742900
64,2023-04-27,USD,1.19,1.32,-0.13,-9.8485,42742900
65,2023-04-26,USD,1.19,1.32,-0.13,-9.8485,42742900
66,2023-04-25,USD,1.19,1.32,-0.13,-9.8485,42742900
67,2023-04-24,USD,1.19,1.32,-0.13,-9.8485,42742900
68,2023-04-23,USD,1.19,1.32,-0.13,-9.8485,42742900
69,2023-04-22,USD,1.19,1.32,-0.13,-9.8485,42742900
70,2023-04-21,USD,1.19,1.32,-0.13,-9.8485,42742900
71,2023-04-20,USD,1.19,1.32,-0.13,-9.8485,42742900
72,2023-04-19,USD,1.19,1.32,-0.13,-9.8485,42742900
73,2023-04-18,USD,1.19,1.32,-0.13,-9.8485,42742900
74,2023-04-17,USD,1.19,1.32,-0.13,-9.8485,42742900
75,2023-04-16,USD,1.19,1.32,-0.13,-9.8485,42742900
76,2023-04-15,USD,1.19,1.32,-0.13,-9.8485,42742900
77,2023-04-14,USD,1.19,1.32,-0.13,-9.8485,42742900
78,2023-04-13,USD,1.19,1.32,-0.13,-9.8485,42742900
79,2023-04-12,USD,1.19,1.32,-0.13,-9.8485,42742900
80,2023-04-11,USD,1.19,1.32,-0.13,-9.8485,42742900
81,2023-04-10,USD,1.19,1.32,-0.13,-9.8485,42742900
82,2023-04-09,USD,1.19,1.32,-0.13,-9.8485,42742900
83,2023-04-08,USD,1.19,1.32,-0.13,-9.8485,42742900
84,2023-04-07,USD,1.19,1.32,-0.13,-9.8485,42742900
85,2023-04-06,USD,1.19,1.32,-0.13,-9.8485,42742900
86,2023-04-05,USD,1.19,1.32,-0.13,-9.8485,42742900
87,2023-04-04,USD,1.19,1.32,-0.13,-9.8485,42742900
88,2023-04-03,USD,1.19,1.32,-0.13,-9.8485,42742900
89,2023-04-02,USD,1.19,1.32,-0.13,-9.8485,42742900
90,2023-04-01,USD,1.19,1.32,-0.13,-9.8485,42742900
91,2023-03-31,USD,1.19,1.32,-0.13,-9.8485,42742900
92,2023-03-30,USD,1.37,1.34,0.03,2.2388,42699800
93,2023-03-29,USD,1.37,1.34,0.03,2.2388,42699800
94,2023-03-28,USD,1.37,1.34,0.03,2.2388,42699800
95,2023-03-27,USD,1.37,1.34,0.03,2.2388,42699800
96,2023-03-26,USD,1.37,1.34,0.03,2.2388,42699800
97,2023-03-25,USD,1.37,1.34,0.03,2.2388,42699800
98,2023-03-24,USD,1.37,1.34,0.03,2.2388,42699800
99,2023-03-23,USD,1.37,1.34,0.03,2.2388,42699800
100,2023-03-22,USD,1.37,1.34,0.03,2.2388,42699800
101,2023-03-21,USD,1.37,1.34,0.03,2.2388,42699800
102,2023-03-20,USD,1.37,1.34,0.03,2.2388,42699800
103,2023-03-19,USD,1.37,1.34,0.03,2.2388,42699800
104,2023-03-18,USD,1.37,1.34,0.03,2.2388,42699800
105,2023-03-17,USD,1.37,1.34,0.03,2.2388,42699800
106,2023-03-16,USD,1.37,1.34,0.03,2.2388,42699800
107,2023-03-15,USD,1.37,1.34,0.03,2.2388,42699800
