index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,0.82,0.81,0.01,1.2346,56270200
29,2023-06-01,USD,0.82,0.81,0.01,1.2346,56270200
30,2023-05-31,USD,0.82,0.81,0.01,1.2346,56270200
31,2023-05-30,USD,0.82,0.81,0.01,1.2346,56270200
32,2023-05-29,USD,0.82,0.81,0.01,1.2346,56270200
33,2023-05-28,USD,0.82,0.81,0.01,1.2346,56270200
34,2023-05-27,USD,0.82,0.81,0.01,1.2346,56270200
35,2023-05-26,USD,0.82,0.81,0.01,1.2346,56270200
36,2023-05-25,USD,0.82,0.81,0.01,1.2346,56270200
37,2023-05-24,USD,0.82,0.81,0.01,1.2346,56270200
38,2023-05-23,USD,0.82,0.81,0.01,1.2346,56270200
39,2023-05-22,USD,0.82,0.81,0.01,1.2346,56270200
40,2023-05-21,USD,0.82,0.81,0.01,1.2346,56270200
41,2023-05-20,USD,0.82,0.81,0.01,1.2346,56270200
42,2023-05-19,USD,0.82,0.81,0.01,1.2346,56270200
43,2023-05-18,USD,0.82,0.81,0.01,1.2346,56270200
44,2023-05-17,USD,0.82,0.81,0.01,1.2346,56270200
45,2023-05-16,USD,0.82,0.81,0.01,1.2346,56270200
46,2023-05-15,USD,0.82,0.81,0.01,1.2346,56270200
47,2023-05-14,USD,0.82,0.81,0.01,1.2346,56270200
48,2023-05-13,USD,0.82,0.81,0.01,1.2346,56270200
49,2023-05-12,USD,0.82,0.81,0.01,1.2346,56270200
50,2023-05-11,USD,0.82,0.81,0.01,1.2346,56270200
51,2023-05-10,USD,0.82,0.81,0.01,1.2346,56270200
52,2023-05-09,USD,0.82,0.81,0.01,1.2346,56270200
53,2023-05-08,USD,0.82,0.81,0.01,1.2346,56270200
54,2023-05-07,USD,0.82,0.81,0.01,1.2346,56270200
55,2023-05-06,USD,0.82,0.81,0.01,1.2346,56270200
56,2023-05-05,USD,0.82,0.81,0.01,1.2346,56270200
57,2023-05-04,USD,0.82,0.81,0.01,1.2346,56270200
58,2023-05-03,USD,0.82,0.81,0.01,1.2346,56270200
59,2023-05-02,USD,0.82,0.81,0.01,1.2346,56270200
60,2023-05-01,USD,0.82,0.81,0.01,1.2346,56270200
61,2023-04-30,USD,0.82,0.81,0.01,1.2346,56270200
62,2023-04-29,USD,0.82,0.81,0.01,1.2346,56270200
63,2023-04-28,USD,0.82,0.81,0.01,1.2346,56270200
64,2023-04-27,USD,0.82,0.81,0.01,1.2346,56270200
65,2023-04-26,USD,0.82,0.81,0.01,1.2346,56270200
66,2023-04-25,USD,0.82,0.81,0.01,1.2346,56270200
67,2023-04-24,USD,0.82,0.81,0.01,1.2346,56270200
68,2023-04-23,USD,0.82,0.81,0.01,1.2346,56270200
69,2023-04-22,USD,0.82,0.81,0.01,1.2346,56270200
70,2023-04-21,USD,0.82,0.81,0.01,1.2346,56270200
71,2023-04-20,USD,0.82,0.81,0.01,1.2346,56270200
72,2023-04-19,USD,0.82,0.81,0.01,1.2346,56270200
73,2023-04-18,USD,0.82,0.81,0.01,1.2346,56270200
74,2023-04-17,USD,0.82,0.81,0.01,1.2346,56270200
75,2023-04-16,USD,0.82,0.81,0.01,1.2346,56270200
76,2023-04-15,USD,0.82,0.81,0.01,1.2346,56270200
77,2023-04-14,USD,0.82,0.81,0.01,1.2346,56270200
78,2023-04-13,USD,0.82,0.81,0.01,1.2346,56270200
79,2023-04-12,USD,0.82,0.81,0.01,1.2346,56270200
80,2023-04-11,USD,0.82,0.81,0.01,1.2346,56270200
81,2023-04-10,USD,0.82,0.81,0.01,1.2346,56270200
82,2023-04-09,USD,0.82,0.81,0.01,1.2346,56270200
83,2023-04-08,USD,0.82,0.81,0.01,1.2346,56270200
84,2023-04-07,USD,0.82,0.81,0.01,1.2346,56270200
85,2023-04-06,USD,0.82,0.81,0.01,1.2346,56270200
