index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,0.05,0.01,0.04,400,29273300
29,2023-06-01,USD,0.05,0.01,0.04,400,29273300
30,2023-05-31,USD,0.05,0.01,0.04,400,29273300
31,2023-05-30,USD,0.05,0.01,0.04,400,29273300
32,2023-05-29,USD,0.05,0.01,0.04,400,29273300
33,2023-05-28,USD,0.05,0.01,0.04,400,29273300
34,2023-05-27,USD,0.05,0.01,0.04,400,29273300
35,2023-05-26,USD,0.05,0.01,0.04,400,29273300
36,2023-05-25,USD,0.05,0.01,0.04,400,29273300
37,2023-05-24,USD,0.05,0.01,0.04,400,29273300
38,2023-05-23,USD,0.05,0.01,0.04,400,29273300
39,2023-05-22,USD,0.05,0.01,0.04,400,29273300
40,2023-05-21,USD,0.05,0.01,0.04,400,29273300
41,2023-05-20,USD,0.05,0.01,0.04,400,29273300
42,2023-05-19,USD,0.05,0.01,0.04,400,29273300
43,2023-05-18,USD,0.05,0.01,0.04,400,29273300
44,2023-05-17,USD,0.05,0.01,0.04,400,29273300
45,2023-05-16,USD,0.05,0.01,0.04,400,29273300
46,2023-05-15,USD,0.05,0.01,0.04,400,29273300
47,2023-05-14,USD,0.05,0.01,0.04,400,29273300
48,2023-05-13,USD,0.05,0.01,0.04,400,29273300
49,2023-05-12,USD,0.05,0.01,0.04,400,29273300
50,2023-05-11,USD,0.05,0.01,0.04,400,29273300
51,2023-05-10,USD,0.05,0.01,0.04,400,29273300
52,2023-05-09,USD,0.05,0.01,0.04,400,29273300
53,2023-05-08,USD,0.05,0.01,0.04,400,29273300
54,2023-05-07,USD,0.05,0.01,0.04,400,29273300
55,2023-05-06,USD,0.05,0.01,0.04,400,29273300
56,2023-05-05,USD,0.05,0.01,0.04,400,29273300
57,2023-05-04,USD,0.05,0.01,0.04,400,29273300
58,2023-05-03,USD,0.05,0.01,0.04,400,29273300
59,2023-05-02,USD,0.05,0.01,0.04,400,29273300
60,2023-05-01,USD,0.05,0.01,0.04,400,29273300
61,2023-04-30,USD,0.05,0.01,0.04,400,29273300
62,2023-04-29,USD,0.05,0.01,0.04,400,29273300
63,2023-04-28,USD,0.05,0.01,0.04,400,29273300
64,2023-04-27,USD,0.05,0.01,0.04,400,29273300
65,2023-04-26,USD,0.05,0.01,0.04,400,29273300
66,2023-04-25,USD,0.05,0.01,0.04,400,29273300
67,2023-04-24,USD,0.05,0.01,0.04,400,29273300
68,2023-04-23,USD,0.05,0.01,0.04,400,29273300
69,2023-04-22,USD,0.05,0.01,0.04,400,29273300
70,2023-04-21,USD,0.05,0.01,0.04,400,29273300
71,2023-04-20,USD,0.05,0.01,0.04,400,29273300
72,2023-04-19,USD,0.05,0.01,0.04,400,29273300
73,2023-04-18,USD,0.05,0.01,0.04,400,29273300
74,2023-04-17,USD,0.05,0.01,0.04,400,29273300
75,2023-04-16,USD,0.05,0.01,0.04,400,29273300
76,2023-04-15,USD,0.05,0.01,0.04,400,29273300
77,2023-04-14,USD,0.05,0.01,0.04,400,29273300
78,2023-04-13,USD,0.05,0.01,0.04,400,29273300
79,2023-04-12,USD,0.05,0.01,0.04,400,29273300
80,2023-04-11,USD,0.05,0.01,0.04,400,29273300
81,2023-04-10,USD,0.05,0.01,0.04,400,29273300
82,2023-04-09,USD,0.05,0.01,0.04,400,29273300
83,2023-04-08,USD,0.05,0.01,0.04,400,29273300
84,2023-04-07,USD,0.05,0.01,0.04,400,29273300
85,2023-04-06,USD,0.05,0.01,0.04,400,29273300
86,2023-04-05,USD,0.05,0.01,0.04,400,29273300
87,2023-04-04,USD,0.05,0.01,0.04,400,29273300
88,2023-04-03,USD,0.05,0.01,0.04,400,29273300
89,2023-04-02,USD,0.05,0.01,0.04,400,29273300
90,2023-04-01,USD,0.05,0.01,0.04,400,29273300
91,2023-03-31,USD,0.05,0.01,0.04,400,29273300
92,2023-03-30,USD,0.19,0.04,0.15,375,30465300
93,2023-03-29,USD,0.19,0.04,0.15,375,30465300
94,2023-03-28,USD,0.19,0.04,0.15,375,30465300
95,2023-03-27,USD,0.19,0.04,0.15,375,30465300
96,2023-03-26,USD,0.19,0.04,0.15,375,30465300
97,2023-03-25,USD,0.19,0.04,0.15,375,30465300
98,2023-03-24,USD,0.19,0.04,0.15,375,30465300
99,2023-03-23,USD,0.19,0.04,0.15,375,30465300
100,2023-03-22,USD,0.19,0.04,0.15,375,30465300
101,2023-03-21,USD,0.19,0.04,0.15,375,30465300
102,2023-03-20,USD,0.19,0.04,0.15,375,30465300
103,2023-03-19,USD,0.19,0.04,0.15,375,30465300
104,2023-03-18,USD,0.19,0.04,0.15,375,30465300
105,2023-03-17,USD,0.19,0.04,0.15,375,30465300
106,2023-03-16,USD,0.19,0.04,0.15,375,30465300
107,2023-03-15,USD,0.19,0.04,0.15,375,30465300
108,2023-03-14,USD,0.19,0.04,0.15,375,30465300
109,2023-03-13,USD,0.19,0.04,0.15,375,30465300
110,2023-03-12,USD,0.19,0.04,0.15,375,30465300
111,2023-03-11,USD,0.19,0.04,0.15,375,30465300
112,2023-03-10,USD,0.19,0.04,0.15,375,30465300
113,2023-03-09,USD,0.19,0.04,0.15,375,30465300
114,2023-03-08,USD,0.19,0.04,0.15,375,30465300
115,2023-03-07,USD,0.19,0.04,0.15,375,30465300
116,2023-03-06,USD,0.19,0.04,0.15,375,30465300
117,2023-03-05,USD,0.19,0.04,0.15,375,30465300
118,2023-03-04,USD,0.19,0.04,0.15,375,30465300
119,2023-03-03,USD,0.19,0.04,0.15,375,30465300
120,2023-03-02,USD,0.19,0.04,0.15,375,30465300
121,2023-03-01,USD,0.19,0.04,0.15,375,30465300
122,2023-02-28,USD,0.19,0.04,0.15,375,30465300
123,2023-02-27,USD,0.19,0.04,0.15,375,30465300
124,2023-02-26,USD,0.19,0.04,0.15,375,30465300
125,2023-02-25,USD,0.19,0.04,0.15,375,30465300
126,2023-02-24,USD,0.19,0.04,0.15,375,30465300
127,2023-02-23,USD,0.19,0.04,0.15,375,30465300
128,2023-02-22,USD,0.19,0.04,0.15,375,30465300
129,2023-02-21,USD,0.19,0.04,0.15,375,30465300
130,2023-02-20,USD,0.19,0.04,0.15,375,30465300
131,2023-02-19,USD,0.19,0.04,0.15,375,30465300
132,2023-02-18,USD,0.19,0.04,0.15,375,30465300
133,2023-02-17,USD,0.19,0.04,0.15,375,30465300
134,2023-02-16,USD,0.19,0.04,0.15,375,30465300
135,2023-02-15,USD,0.19,0.04,0.15,375,30465300
136,2023-02-14,USD,0.19,0.04,0.15,375,30465300
137,2023-02-13,USD,0.19,0.04,0.15,375,30465300
138,2023-02-12,USD,0.19,0.04,0.15,375,30465300
139,2023-02-11,USD,0.19,0.04,0.15,375,30465300
140,2023-02-10,USD,0.19,0.04,0.15,375,30465300
141,2023-02-09,USD,0.19,0.04,0.15,375,30465300
142,2023-02-08,USD,0.19,0.04,0.15,375,30465300
143,2023-02-07,USD,0.19,0.04,0.15,375,30465300
144,2023-02-06,USD,0.19,0.04,0.15,375,30465300
145,2023-02-05,USD,0.19,0.04,0.15,375,30465300
146,2023-02-04,USD,0.19,0.04,0.15,375,30465300
147,2023-02-03,USD,0.19,0.04,0.15,375,30465300
148,2023-02-02,USD,0.19,0.04,0.15,375,30465300
149,2023-02-01,USD,0.19,0.04,0.15,375,30465300
150,2023-01-31,USD,0.19,0.04,0.15,375,30465300
151,2023-01-30,USD,0.19,0.04,0.15,375,30465300
152,2023-01-29,USD,0.19,0.04,0.15,375,30465300
153,2023-01-28,USD,0.19,0.04,0.15,375,30465300
154,2023-01-27,USD,0.19,0.04,0.15,375,30465300
155,2023-01-26,USD,0.19,0.04,0.15,375,30465300
156,2023-01-25,USD,0.19,0.04,0.15,375,30465300
157,2023-01-24,USD,0.19,0.04,0.15,375,30465300
158,2023-01-23,USD,0.19,0.04,0.15,375,30465300
159,2023-01-22,USD,0.19,0.04,0.15,375,30465300
160,2023-01-21,USD,0.19,0.04,0.15,375,30465300
161,2023-01-20,USD,0.19,0.04,0.15,375,30465300
162,2023-01-19,USD,0.19,0.04,0.15,375,30465300
163,2023-01-18,USD,0.19,0.04,0.15,375,30465300
164,2023-01-17,USD,0.19,0.04,0.15,375,30465300
