index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,-0.07,-0.04,-0.03,-75,222717100
29,2023-06-01,USD,-0.07,-0.04,-0.03,-75,222717100
30,2023-05-31,USD,-0.07,-0.04,-0.03,-75,222717100
31,2023-05-30,USD,-0.07,-0.04,-0.03,-75,222717100
32,2023-05-29,USD,-0.07,-0.04,-0.03,-75,222717100
33,2023-05-28,USD,-0.07,-0.04,-0.03,-75,222717100
34,2023-05-27,USD,-0.07,-0.04,-0.03,-75,222717100
35,2023-05-26,USD,-0.07,-0.04,-0.03,-75,222717100
36,2023-05-25,USD,-0.07,-0.04,-0.03,-75,222717100
37,2023-05-24,USD,-0.07,-0.04,-0.03,-75,222717100
38,2023-05-23,USD,-0.07,-0.04,-0.03,-75,222717100
39,2023-05-22,USD,-0.07,-0.04,-0.03,-75,222717100
40,2023-05-21,USD,-0.07,-0.04,-0.03,-75,222717100
41,2023-05-20,USD,-0.07,-0.04,-0.03,-75,222717100
42,2023-05-19,USD,-0.07,-0.04,-0.03,-75,222717100
43,2023-05-18,USD,-0.07,-0.04,-0.03,-75,222717100
44,2023-05-17,USD,-0.07,-0.04,-0.03,-75,222717100
45,2023-05-16,USD,-0.07,-0.04,-0.03,-75,222717100
46,2023-05-15,USD,-0.07,-0.04,-0.03,-75,222717100
47,2023-05-14,USD,-0.07,-0.04,-0.03,-75,222717100
48,2023-05-13,USD,-0.07,-0.04,-0.03,-75,222717100
49,2023-05-12,USD,-0.07,-0.04,-0.03,-75,222717100
50,2023-05-11,USD,-0.07,-0.04,-0.03,-75,222717100
51,2023-05-10,USD,-0.07,-0.04,-0.03,-75,222717100
52,2023-05-09,USD,-0.07,-0.04,-0.03,-75,222717100
53,2023-05-08,USD,-0.07,-0.04,-0.03,-75,222717100
54,2023-05-07,USD,-0.07,-0.04,-0.03,-75,222717100
55,2023-05-06,USD,-0.07,-0.04,-0.03,-75,222717100
56,2023-05-05,USD,-0.07,-0.04,-0.03,-75,222717100
57,2023-05-04,USD,-0.07,-0.04,-0.03,-75,222717100
58,2023-05-03,USD,-0.07,-0.04,-0.03,-75,222717100
59,2023-05-02,USD,-0.07,-0.04,-0.03,-75,222717100
60,2023-05-01,USD,-0.07,-0.04,-0.03,-75,222717100
61,2023-04-30,USD,-0.07,-0.04,-0.03,-75,222717100
62,2023-04-29,USD,-0.07,-0.04,-0.03,-75,222717100
63,2023-04-28,USD,-0.07,-0.04,-0.03,-75,222717100
64,2023-04-27,USD,-0.07,-0.04,-0.03,-75,222717100
65,2023-04-26,USD,-0.07,-0.04,-0.03,-75,222717100
66,2023-04-25,USD,-0.07,-0.04,-0.03,-75,222717100
67,2023-04-24,USD,-0.07,-0.04,-0.03,-75,222717100
68,2023-04-23,USD,-0.07,-0.04,-0.03,-75,222717100
69,2023-04-22,USD,-0.07,-0.04,-0.03,-75,222717100
70,2023-04-21,USD,-0.07,-0.04,-0.03,-75,222717100
71,2023-04-20,USD,-0.07,-0.04,-0.03,-75,222717100
72,2023-04-19,USD,-0.07,-0.04,-0.03,-75,222717100
73,2023-04-18,USD,-0.07,-0.04,-0.03,-75,222717100
74,2023-04-17,USD,-0.07,-0.04,-0.03,-75,222717100
75,2023-04-16,USD,-0.07,-0.04,-0.03,-75,222717100
76,2023-04-15,USD,-0.07,-0.04,-0.03,-75,222717100
77,2023-04-14,USD,-0.07,-0.04,-0.03,-75,222717100
78,2023-04-13,USD,-0.07,-0.04,-0.03,-75,222717100
79,2023-04-12,USD,-0.07,-0.04,-0.03,-75,222717100
80,2023-04-11,USD,-0.07,-0.04,-0.03,-75,222717100
81,2023-04-10,USD,-0.07,-0.04,-0.03,-75,222717100
82,2023-04-09,USD,-0.07,-0.04,-0.03,-75,222717100
83,2023-04-08,USD,-0.07,-0.04,-0.03,-75,222717100
84,2023-04-07,USD,-0.07,-0.04,-0.03,-75,222717100
85,2023-04-06,USD,-0.07,-0.04,-0.03,-75,222717100
86,2023-04-05,USD,-0.07,-0.04,-0.03,-75,222717100
87,2023-04-04,USD,-0.07,-0.04,-0.03,-75,222717100
88,2023-04-03,USD,-0.07,-0.04,-0.03,-75,222717100
89,2023-04-02,USD,-0.07,-0.04,-0.03,-75,222717100
90,2023-04-01,USD,-0.07,-0.04,-0.03,-75,222717100
91,2023-03-31,USD,-0.07,-0.04,-0.03,-75,222717100
92,2023-03-30,USD,0.01,0.01,0,0,222429600
93,2023-03-29,USD,0.01,0.01,0,0,222429600
94,2023-03-28,USD,0.01,0.01,0,0,222429600
95,2023-03-27,USD,0.01,0.01,0,0,222429600
96,2023-03-26,USD,0.01,0.01,0,0,222429600
97,2023-03-25,USD,0.01,0.01,0,0,222429600
98,2023-03-24,USD,0.01,0.01,0,0,222429600
99,2023-03-23,USD,0.01,0.01,0,0,222429600
100,2023-03-22,USD,0.01,0.01,0,0,222429600
101,2023-03-21,USD,0.01,0.01,0,0,222429600
102,2023-03-20,USD,0.01,0.01,0,0,222429600
103,2023-03-19,USD,0.01,0.01,0,0,222429600
104,2023-03-18,USD,0.01,0.01,0,0,222429600
