datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2023-07-31,281.83,281.83,274.48,276.75,276.75,325200,-8.64,41.87,57.95
2023-07-28,280.71,283.0,277.98,280.53,280.53,284500,-7.43,45.38,56.62
2023-07-27,282.49,282.55,277.07,277.57,277.57,342900,-13.32,41.83,58.62
2023-07-26,280.44,283.07,278.95,280.87,280.87,305800,-4.88,44.85,56.87
2023-07-25,277.5,283.4,277.01,281.74,281.74,365000,-3.75,45.65,49.37
2023-07-24,283.31,284.6,276.52,279.6,279.6,485200,-2.90,43.33,41.21
2023-07-21,280.98,286.71,279.21,284.28,284.28,389300,-1.25,47.45,42.41
2023-07-20,288.12,289.73,277.78,278.83,278.83,731900,0.16,41.42,33.58
2023-07-19,286.6,289.99,284.93,287.82,287.82,514900,10.14,50.25,34.22
2023-07-18,286.92,288.19,283.43,285.39,285.39,525500,3.40,47.44,32.83
2023-07-17,292.07,293.64,287.74,287.96,287.96,336700,4.53,50.23,41.47
2023-07-14,287.07,291.54,285.53,290.89,290.89,395800,2.55,53.56,45.35
2023-07-13,286.83,288.09,285.23,285.75,285.75,287500,-5.23,47.93,39.21
2023-07-12,283.98,286.8,281.31,285.49,285.49,400700,-9.05,47.63,40.68
2023-07-11,285.33,286.0,280.18,282.5,282.5,452400,-11.37,44.22,40.62
2023-07-10,277.92,285.85,277.92,285.53,285.53,562800,-11.21,47.11,46.89
2023-07-07,277.43,280.67,275.42,278.67,278.67,535100,-9.18,38.70,47.96
2023-07-06,279.11,281.33,276.85,277.68,277.68,656800,-13.73,37.36,54.09
2023-07-05,283.17,283.5,279.62,281.99,281.99,802900,-7.09,40.97,61.90
2023-07-03,287.03,287.03,280.75,283.43,283.43,279400,-5.28,42.23,63.90
2023-06-30,293.15,295.0,278.61,288.34,288.34,1022200,3.84,46.81,67.76
2023-06-29,292.28,293.49,284.59,290.98,290.98,576900,3.85,49.49,78.22
2023-06-28,294.66,296.59,291.96,294.54,294.54,356300,10.95,53.30,79.72
2023-06-27,298.14,298.95,287.15,293.87,293.87,669200,12.39,52.66,73.85
2023-06-26,287.45,297.19,285.42,296.74,296.74,839500,12.65,55.69,73.35
2023-06-23,289.86,291.92,286.29,287.85,287.85,602100,4.76,46.92,72.89
2023-06-22,289.65,294.31,289.64,291.41,291.41,477300,10.07,50.65,81.08
2023-06-21,288.2,290.4,284.07,289.08,289.08,387900,10.28,48.14,74.10
2023-06-20,282.8,290.71,281.28,288.71,288.71,577100,3.15,47.75,64.99
2023-06-16,289.23,292.84,282.63,284.5,284.5,727800,0.43,43.22,58.59
2023-06-15,283.33,287.44,282.02,287.13,287.13,528900,6.10,45.51,49.43
2023-06-14,281.5,287.5,281.14,283.59,283.59,718500,11.11,41.65,36.73
2023-06-13,284.36,285.5,279.81,281.48,281.48,528100,7.23,39.28,30.18
2023-06-12,284.2,285.75,280.95,284.09,284.09,422400,11.51,41.21,30.31
2023-06-09,281.59,284.05,280.49,283.09,283.09,396600,10.46,40.16,32.06
2023-06-08,277.61,282.0,275.67,281.34,281.34,446000,4.29,38.38,27.49
2023-06-07,285.44,285.86,274.88,278.8,278.8,493900,-14.95,35.80,25.80
2023-06-06,282.94,285.8,281.14,285.56,285.56,543700,-10.87,39.93,26.07
2023-06-05,283.22,287.8,280.55,284.07,284.07,732800,-22.48,38.48,20.71
2023-06-02,274.45,281.19,272.55,281.03,281.03,687000,-20.00,35.53,13.57
2023-06-01,274.48,274.56,270.0,272.48,272.48,574500,-30.39,26.30,12.39
2023-05-31,272.87,275.31,270.03,274.25,274.25,907100,-38.91,27.04,12.20
2023-05-30,272.63,276.25,271.47,272.58,272.58,503500,-47.29,25.19,19.77
2023-05-26,277.83,281.03,272.5,272.63,272.63,773400,-48.16,25.21,19.44
2023-05-25,292.74,292.74,268.76,277.05,277.05,1925500,-53.18,26.76,19.20
2023-05-24,293.83,295.98,291.42,293.75,293.75,383600,-27.52,34.14,33.13
