date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,3.68,3.99,3.68,3.96,3.96,960000,28,USD,-0.02,-0.02,0,0,131083800
2023-06-01,3.61,3.74,3.52,3.68,3.68,793900,29,USD,-0.02,-0.02,0,0,131083800
2023-05-31,3.78,3.84,3.575,3.63,3.63,1985900,30,USD,-0.02,-0.02,0,0,131083800
2023-05-30,3.78,3.88,3.55,3.8,3.8,971100,31,USD,-0.02,-0.02,0,0,131083800
2023-05-26,3.84,3.88,3.65,3.77,3.77,848500,35,USD,-0.02,-0.02,0,0,131083800
2023-05-25,3.98,4.02,3.75,3.81,3.81,865100,36,USD,-0.02,-0.02,0,0,131083800
2023-05-24,3.96,4.17,3.8,3.99,3.99,2877400,37,USD,-0.02,-0.02,0,0,131083800
2023-05-23,3.41,3.605,3.33,3.44,3.44,1459100,38,USD,-0.02,-0.02,0,0,131083800
2023-05-22,3.22,3.54,3.19,3.41,3.41,1615200,39,USD,-0.02,-0.02,0,0,131083800
2023-05-19,3.17,3.295,3.105,3.2,3.2,858500,42,USD,-0.02,-0.02,0,0,131083800
2023-05-18,3.17,3.27,2.995,3.09,3.09,1260600,43,USD,-0.02,-0.02,0,0,131083800
2023-05-17,3.03,3.25,2.97,3.18,3.18,1297500,44,USD,-0.02,-0.02,0,0,131083800
2023-05-16,3.11,3.14,2.885,3.04,3.04,1343100,45,USD,-0.02,-0.02,0,0,131083800
2023-05-15,3.1,3.255,3.015,3.18,3.18,1404100,46,USD,-0.02,-0.02,0,0,131083800
2023-05-12,2.85,3.199,2.85,3.1,3.1,2923800,49,USD,-0.02,-0.02,0,0,131083800
2023-05-11,2.35,2.98,2.33,2.88,2.88,5539900,50,USD,-0.02,-0.02,0,0,131083800
2023-05-10,2.25,2.31,2.08,2.1,2.1,2786800,51,USD,-0.02,-0.02,0,0,131083800
2023-05-09,2.15,2.23,2.06,2.22,2.22,1312800,52,USD,-0.02,-0.02,0,0,131083800
2023-05-08,2.13,2.22,2.075,2.15,2.15,1120200,53,USD,-0.02,-0.02,0,0,131083800
2023-05-05,2.09,2.13,2.02,2.12,2.12,894900,56,USD,-0.02,-0.02,0,0,131083800
2023-05-04,2.03,2.11,1.93,2.06,2.06,987600,57,USD,-0.02,-0.02,0,0,131083800
2023-05-03,1.93,2.07,1.91,2.06,2.06,992800,58,USD,-0.02,-0.02,0,0,131083800
2023-05-02,1.99,2.005,1.88,1.91,1.91,438600,59,USD,-0.02,-0.02,0,0,131083800
2023-05-01,2.04,2.05,1.955,2.01,2.01,387800,60,USD,-0.02,-0.02,0,0,131083800
2023-04-28,1.92,2.055,1.87,2.05,2.05,712300,63,USD,-0.02,-0.02,0,0,131083800
2023-04-27,1.94,1.97,1.905,1.92,1.92,343100,64,USD,-0.02,-0.02,0,0,131083800
2023-04-26,1.95,1.96,1.795,1.9,1.9,697400,65,USD,-0.02,-0.02,0,0,131083800
2023-04-25,2.02,2.06,1.91,1.96,1.96,761500,66,USD,-0.02,-0.02,0,0,131083800
2023-04-24,2.04,2.08,2.04,2.06,2.06,307300,67,USD,-0.02,-0.02,0,0,131083800
2023-04-21,1.95,2.1,1.95,2.07,2.07,495500,70,USD,-0.02,-0.02,0,0,131083800
2023-04-20,1.95,2.01,1.91,1.96,1.96,675200,71,USD,-0.02,-0.02,0,0,131083800
2023-04-19,1.99,2.02,1.89,1.96,1.96,525300,72,USD,-0.02,-0.02,0,0,131083800
2023-04-18,2.05,2.08,1.94,1.99,1.99,513100,73,USD,-0.02,-0.02,0,0,131083800
2023-04-17,2.07,2.115,2.05,2.06,2.06,265200,74,USD,-0.02,-0.02,0,0,131083800
2023-04-14,2.16,2.18,2.07,2.07,2.07,376000,77,USD,-0.02,-0.02,0,0,131083800
2023-04-13,2.09,2.18,2.05,2.17,2.17,693900,78,USD,-0.02,-0.02,0,0,131083800
2023-04-12,2.23,2.23,2.025,2.06,2.06,701300,79,USD,-0.02,-0.02,0,0,131083800
2023-04-11,2.13,2.24,2.12,2.21,2.21,434400,80,USD,-0.02,-0.02,0,0,131083800
2023-04-10,2.18,2.19,2.1,2.13,2.13,495900,81,USD,-0.02,-0.02,0,0,131083800
2023-04-06,2.16,2.2,2.15,2.18,2.18,292800,85,USD,-0.02,-0.02,0,0,131083800
2023-04-05,2.12,2.2,2.06,2.17,2.17,563400,86,USD,-0.02,-0.02,0,0,131083800
2023-04-04,2.15,2.165,2.06,2.12,2.12,507000,87,USD,-0.02,-0.02,0,0,131083800
2023-04-03,2.1,2.18,2.1,2.14,2.14,627500,88,USD,-0.02,-0.02,0,0,131083800
2023-03-31,2.06,2.16,2.04,2.13,2.13,1132200,91,USD,-0.02,-0.02,0,0,131083800
2023-03-30,2.02,2.1,2.015,2.04,2.04,678900,92,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-29,1.97,2.03,1.92,2.03,2.03,777400,93,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-28,1.94,1.975,1.89,1.925,1.925,1276600,94,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-27,1.89,2.0,1.89,1.97,1.97,1446000,95,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-24,1.93,1.94,1.855,1.89,1.89,1105100,98,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-23,1.98,2.03,1.9,1.94,1.94,1445200,99,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-22,2.04,2.08,1.95,1.96,1.96,1003700,100,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-21,1.96,2.07,1.935,2.04,2.04,1668700,101,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-20,2.08,2.09,1.91,1.93,1.93,2623500,102,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-17,2.04,2.13,2.0,2.0,2.0,18741700,105,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-16,2.13,2.16,2.04,2.11,2.11,1708100,106,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-15,2.11,2.17,2.035,2.16,2.16,2138800,107,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-14,2.27,2.27,2.125,2.16,2.16,1985500,108,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-13,2.22,2.27,2.125,2.19,2.19,1673600,109,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-10,2.32,2.32,2.16,2.28,2.28,2225800,112,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-09,2.34,2.36,2.24,2.31,2.31,1674500,113,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-08,2.3,2.35,2.205,2.34,2.34,1841900,114,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-07,2.38,2.38,2.22,2.31,2.31,1907800,115,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-06,2.77,2.795,2.32,2.38,2.38,3329500,116,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-03,2.68,2.93,2.63,2.92,2.92,1506700,119,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-02,2.25,2.72,2.2,2.72,2.72,2024200,120,USD,0.06,0.05,0.01,20,131857499.99999999
2023-03-01,2.46,2.46,2.25,2.28,2.28,747700,121,USD,0.06,0.05,0.01,20,131857499.99999999
2023-02-28,2.44,2.5,2.44,2.45,2.45,644000,122,USD,0.06,0.05,0.01,20,131857499.99999999
2023-02-27,2.44,2.5,2.41,2.45,2.45,436600,123,USD,0.06,0.05,0.01,20,131857499.99999999
2023-02-24,2.455,2.48,2.28,2.39,2.39,1149600,126,USD,0.06,0.05,0.01,20,131857499.99999999
2023-02-23,2.5,2.5,2.44,2.46,2.46,579600,127,USD,0.06,0.05,0.01,20,131857499.99999999
